date,name,team,opposition,venue,bat_innings,innings_played,previous_average,previous_strike_rate,previous_economy,previous_wicket_hauls,wickets
,AM Hardie,Perth Scorchers,Hobart Hurricanes,Docklands Stadium,,1,0,0,8.5,0,0
2021-01-07,SL Rainbird,Melbourne Stars,Brisbane Heat,Carrara Oval,,0,0,0,0,0,0
,B Stanlake,Melbourne Stars,Brisbane Heat,Carrara Oval,,0,0,0,0,0,0
,Haris Rauf,Melbourne Stars,Brisbane Heat,Carrara Oval,,0,0,0,0,0,0
,A Zampa,Melbourne Stars,Brisbane Heat,Carrara Oval,,0,0,0,0,0,2
,GJ Maxwell,Melbourne Stars,Brisbane Heat,Carrara Oval,,0,0,0,0,0,1
,HWR Cartwright,Melbourne Stars,Brisbane Heat,Carrara Oval,,0,0,0,0,0,0
,XC Bartlett,Brisbane Heat,Melbourne Stars,Carrara Oval,,1,30,19,9.473684211,0,0
,JD Wildermuth,Brisbane Heat,Melbourne Stars,Carrara Oval,,1,0,0,3.333333333,0,0
,Mujeeb Ur Rahman,Brisbane Heat,Melbourne Stars,Carrara Oval,,1,14,12.5,6.72,0,1
,MT Steketee,Brisbane Heat,Melbourne Stars,Carrara Oval,,1,8.25,6,8.25,1,3
,L Gregory,Brisbane Heat,Melbourne Stars,Carrara Oval,,1,39,26,9,0,1
2021-01-25,AF Milne,Sydney Thunder,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,0
,B Doggett,Sydney Thunder,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,1
,N McAndrew,Sydney Thunder,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,1
,BCJ Cutting,Sydney Thunder,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,0
,T Sangha,Sydney Thunder,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,1
,CJ Green,Sydney Thunder,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,1
,DJ Worrall,Adelaide Strikers,Sydney Thunder,Adelaide Oval,,0,0,0,0,0,1
,MG Neser,Adelaide Strikers,Sydney Thunder,Adelaide Oval,,0,0,0,0,0,0
,PM Siddle,Adelaide Strikers,Sydney Thunder,Adelaide Oval,,2,2.666666667,3.166666667,7.086315789,0,0
,WA Agar,Adelaide Strikers,Sydney Thunder,Adelaide Oval,,2,25.83333333,16.66666667,8.28,0,0
,LN O'Connor,Adelaide Strikers,Sydney Thunder,Adelaide Oval,,0,0,0,0,0,0
,TM Head,Adelaide Strikers,Sydney Thunder,Adelaide Oval,,0,0,0,0,0,0
2021-01-19,XC Bartlett,Brisbane Heat,Perth Scorchers,Docklands Stadium,,2,30,19,9.736842105,0,0
,JD Wildermuth,Brisbane Heat,Perth Scorchers,Docklands Stadium,,2,0,0,5.166666667,0,2
,MT Steketee,Brisbane Heat,Perth Scorchers,Docklands Stadium,,2,8.291666667,5,10.375,1,0
,M Morkel,Brisbane Heat,Perth Scorchers,Docklands Stadium,,0,0,0,0,0,2
,MP Kuhnemann,Brisbane Heat,Perth Scorchers,Docklands Stadium,,1,0,0,13.71428571,0,0
,L Gregory,Brisbane Heat,Perth Scorchers,Docklands Stadium,,2,34,19.5,11.19230769,0,0
,JJ Bazley,Brisbane Heat,Perth Scorchers,Docklands Stadium,,1,0,0,7.714285714,0,1
,JA Richardson,Perth Scorchers,Brisbane Heat,Docklands Stadium,,2,6.75,7.125,5.955,1,2
,JP Behrendorff,Perth Scorchers,Brisbane Heat,Docklands Stadium,,2,12.75,12,6.375,0,2
,AM Hardie,Perth Scorchers,Brisbane Heat,Docklands Stadium,,2,0,0,6.392857143,0,0
,Fawad Ahmed,Perth Scorchers,Brisbane Heat,Docklands Stadium,,2,17,18,6.313333333,0,3
,LS Livingstone,Perth Scorchers,Brisbane Heat,Docklands Stadium,,1,9,6,9,0,1
,AJ Tye,Perth Scorchers,Brisbane Heat,Docklands Stadium,,2,19,12.75,7.677272727,1,2
2021-01-15,C Valente,Adelaide Strikers,Melbourne Stars,Melbourne Cricket Ground,,0,0,0,0,0,1
,DJ Worrall,Adelaide Strikers,Melbourne Stars,Melbourne Cricket Ground,,1,24,19,7.578947368,0,0
,WA Agar,Adelaide Strikers,Melbourne Stars,Melbourne Cricket Ground,,3,25.83333333,16.66666667,8.750769231,0,0
